s39,s40,s41,v92,v93,v94,v95,v96,v97,v98,v99,oh53,oh54,oh55,oh56,oh57,v100,v101,v102,v103,v104,v105,v106,v107,oh58,oh59,oh60,oh61,oh62
0.06836,0.09827,-0.38269,0.06758,0.18902,0.25491,0.30724,0.07506,0.06981,0.43617,0.22582,-0.56275,-0.66101,-0.29419,-0.43702,-1.02478,0.02435,0.32037,0.40846,0.30415,0.16825,0.57756,0.11127,0.23613,-0.78064,-0.74524,-0.15747,-0.38513,-1.12488
0.61706,0.46448,0.24109,0.03106,0.01441,0.15863,0.25981,0.01676,0.10322,0.31993,0.17242,0.21667,0.17151,0.39978,0.18859,-0.13611,0.0214,0.19161,0.22564,0.05825,0.12619,0.32941,0.12499,0.0226,0.02441,-0.00671,0.31799,0.06226,-0.23377
0.79834,0.71411,0.25635,0.02183,0.01339,0.1756,0.22476,0.02842,0.13126,0.30974,0.14558,0.18921,0.15747,0.41016,0.1416,-0.10865,0.0021,0.19161,0.20868,0.09124,0.10948,0.31484,0.09397,0.06632,-0.02198,-0.01892,0.28137,0.08911,-0.24598
0.89721,0.57678,2.25342,0.0168,0.02781,0.19893,0.19331,0.0051,0.1238,0.30755,0.1238,0.15198,0.12756,0.41382,0.16052,-0.10132,0.01553,0.14165,0.23328,0.07991,0.09307,0.30062,0.11783,0.043,-0.01465,-0.03723,0.29846,0.05738,-0.20508
0.90332,0.81299,0.26612,0.01889,0.01391,0.17136,0.25259,0.00656,0.11247,0.32577,0.1596,0.22156,0.19409,0.44068,0.21057,-0.10498,0.01931,0.22148,0.17814,0.0964,0.11455,0.30973,0.06951,0.08491,0.06408,0.09216,0.34851,0.2063,-0.17029
0.67627,0.53101,0.271,0.01721,0.01339,0.2053,0.21909,0.00547,0.13663,0.33124,0.13902,0.17456,0.14953,0.44495,0.1654,-0.10987,0.06423,0.20191,0.2511,0.07424,0.0713,0.35856,0.13364,0.10823,-0.02198,0.07141,0.43274,0.15931,-0.16785
0.62439,0.47791,0.26123,0.05541,0.02524,0.17263,0.25002,0.03024,0.1068,0.32504,0.18406,0.20996,0.12939,0.37781,0.1593,-0.16663,0.04155,0.19161,0.22522,0.06392,0.14051,0.32904,0.12141,0.00911,0.03906,-0.02136,0.30273,0.05432,-0.24842
5.08911,5.25147,5.354,0.00587,0.09014,0.17942,0.29486,0.06887,0.07399,0.36257,0.16646,0.12207,0.13061,0.3888,0.23742,-0.21851,0.03652,0.22457,0.19129,0.12991,0.15602,0.32322,0.05936,0.06013,-0.047,-0.1001,0.17517,0.05371,-0.36622
0.48035,0.41504,0.27649,0.05163,0.0103,0.15354,0.24383,0.03753,0.10203,0.30427,0.1778,0.19348,0.11841,0.33936,0.13061,-0.17029,0.07514,0.20655,0.20529,0.11805,0.17303,0.32249,0.07607,0.01822,0.03906,-0.07019,0.22522,0.06958,-0.31495
0.48035,0.41504,0.27649,0.00966,0.1128,0.16415,0.29847,0.07142,0.05012,0.352,0.17958,0.12634,0.1123,0.34851,0.24597,-0.24109,0.02183,0.23178,0.19468,0.1361,0.14976,0.33123,0.05817,0.07725,-0.03113,-0.06287,0.21728,0.09827,-0.33753
2.31628,1.33729,5.354,0.0382,0.03605,0.18366,0.25724,0.00765,0.10829,0.33962,0.17601,0.15869,0.10315,0.36744,0.14587,-0.20142,0.04785,0.26062,0.1599,0.14538,0.18496,0.32176,0.02833,0.06122,0.05676,-0.01282,0.21728,0.15931,-0.32166
0.48035,0.41504,0.27649,0.0466,0.01441,0.16245,0.26188,0.03025,0.10591,0.32467,0.18466,0.15198,0.08423,0.318,0.10131,-0.22583,0.04575,0.23745,0.15142,0.1098,0.17004,0.29807,0.04296,0.0379,0.02136,-0.04516,0.17273,0.08484,-0.32654
0.71045,0.55847,0.30762,0.02939,0.00824,0.17306,0.26909,0.01968,0.11694,0.33888,0.1766,0.22949,0.18676,0.43579,0.19653,-0.13184,0.05751,0.17615,0.19087,0.06187,0.14289,0.2886,0.09844,0.00619,0.08789,0.00427,0.27893,0.07752,-0.20447
0.74768,0.5896,0.34912,0.08815,0.03606,0.21887,0.28558,0.10203,0.13305,0.3899,0.10262,0.22888,0.35705,0.672,0.39978,0.01892,0.0084,0.14422,0.21589,0.01959,0.0895,0.2875,0.1405,0.00656,0.01648,0.00427,0.31494,0.02747,-0.16663
0.46264,0.35461,0.11231,0.05751,0.04378,0.19215,0.26084,0.01895,0.10978,0.34946,0.19182,0.05615,-0.02747,0.24903,0.02441,-0.33631,0.02686,0.20603,0.25151,0.09588,0.13842,0.36184,0.12141,0.04446,-0.17701,-0.21606,0.14587,-0.10254,-0.46021
0.48035,0.41504,0.27649,0.03442,0.02781,0.19723,0.25415,0.0102,0.12261,0.34909,0.17153,0.01648,-0.03357,0.25025,-0.00061,-0.33448,0.03484,0.19161,0.28375,0.10361,0.13574,0.37933,0.13961,0.043,-0.24475,-0.29541,0.11291,-0.17273,-0.52247
0.48035,0.41504,0.27649,0.03442,0.00824,0.16245,0.26394,0.02405,0.10949,0.32613,0.1772,0.10376,0.05371,0.28748,0.06347,-0.25879,0.01511,0.22509,0.22819,0.1031,0.1411,0.35528,0.10083,0.05976,-0.08301,-0.10498,0.22339,0.01709,-0.37171
0.48035,0.41504,0.27649,0.01259,0.00824,0.20359,0.25724,0.0051,0.13842,0.35674,0.15781,0.01953,0.00122,0.29419,0.01098,-0.30335,0.0,0.21324,0.24431,0.10414,0.1235,0.36075,0.11156,0.07361,-0.18677,-0.18677,0.16479,-0.06347,-0.43946
0.48035,0.41504,0.27649,0.04828,0.04945,0.18876,0.27733,0.00693,0.10412,0.3582,0.1948,-0.07263,-0.14283,0.12879,-0.08423,-0.47119,0.03567,0.24312,0.24261,0.13609,0.16616,0.38043,0.09188,0.06523,-0.27039,-0.32226,0.02686,-0.16113,-0.61036
0.48035,0.41504,0.27649,0.01763,0.03657,0.20614,0.25466,0.01057,0.12381,0.35711,0.1599,-0.09522,-0.12085,0.17579,-0.07752,-0.42237,0.01972,0.21273,0.25661,0.13557,0.13722,0.37095,0.10202,0.07871,-0.25757,-0.28625,0.08301,-0.12573,-0.53833
